"zone","year","yrwgtsum","nonNAarea","yrwgtmean","plot_with"
4,2011,839988.2947,1030416.675,0.815192839,"chlorophyllA"
4,2012,693116.5492,1029995.759,0.672931459,"chlorophyllA"
4,2013,632801.5132,1028522.964,0.615252683,"chlorophyllA"
4,2014,456767.3937,1028680.041,0.444032523,"chlorophyllA"
4,2015,588238.1367,1028149.977,0.572132617,"chlorophyllA"
4,2016,449527.9605,1029150.762,0.436795052,"chlorophyllA"
4,2017,497715.2138,1029201.248,0.483593675,"chlorophyllA"
4,2018,478792.082,1029276.837,0.46517328,"chlorophyllA"
4,2019,651202.3211,1029352.566,0.632632922,"chlorophyllA"
4,2020,645205.0446,1029490.788,0.626722504,"chlorophyllA"
4,2021,666510.1891,1029468.41,0.647431415,"chlorophyllA"
4,2022,603074.0074,1029516.019,0.585783996,"chlorophyllA"
4,2023,506393.8847,1029540.667,0.491863897,"chlorophyllA"
4,2024,651723.6336,1029540.667,0.633023692,"chlorophyllA"
9,1998,141862.2279,565059.4584,0.251057169,"chlorophyllA"
9,1999,137471.3898,583368.1192,0.235651187,"chlorophyllA"
9,2000,149158.3001,585583.3118,0.254717471,"chlorophyllA"
9,2001,133427.8079,585313.4184,0.227959592,"chlorophyllA"
9,2002,148048.6593,585699.2635,0.252772487,"chlorophyllA"
9,2003,132409.7622,585959.4862,0.225970848,"chlorophyllA"
9,2004,152240.8648,585959.4862,0.25981466,"chlorophyllA"
9,2005,117995.3458,585297.2674,0.201599003,"chlorophyllA"
9,2006,129605.6137,585944.9946,0.221190752,"chlorophyllA"
9,2007,127685.7198,585859.9911,0.217945792,"chlorophyllA"
9,2008,112738.751,584654.1535,0.192829813,"chlorophyllA"
9,2009,130775.0664,585903.401,0.223202436,"chlorophyllA"
9,2010,135533.2887,585974.2049,0.231295657,"chlorophyllA"
9,2011,166523.4678,585959.4862,0.284189388,"chlorophyllA"
9,2012,161029.9064,585930.0488,0.274827868,"chlorophyllA"
9,2013,155084.9638,585812.2094,0.264734946,"chlorophyllA"
9,2014,138176.4114,585668.6942,0.235929311,"chlorophyllA"
9,2015,134498.8915,584585.5444,0.230075637,"chlorophyllA"
9,2016,142236.5291,584269.4197,0.243443392,"chlorophyllA"
9,2017,141861.3934,585858.709,0.242142672,"chlorophyllA"
9,2018,173694.779,585959.4299,0.296427995,"chlorophyllA"
9,2019,144561.275,585974.2049,0.246702455,"chlorophyllA"
9,2020,152846.3981,585859.4063,0.260892625,"chlorophyllA"
9,2021,171722.1982,585944.7112,0.293068945,"chlorophyllA"
9,2022,180250.353,585974.2049,0.307608,"chlorophyllA"
9,2023,138140.0162,586003.6197,0.23573236,"chlorophyllA"
9,2024,153387.0547,585974.2049,0.261764176,"chlorophyllA"
8,1998,171910.8237,663097.3478,0.259254277,"chlorophyllA"
8,1999,171531.2859,652956.4707,0.26269942,"chlorophyllA"
8,2000,172416.0101,667462.3895,0.258315694,"chlorophyllA"
8,2001,162018.588,668783.9303,0.242258494,"chlorophyllA"
8,2002,194342.9164,669505.8308,0.290278154,"chlorophyllA"
8,2003,180745.6635,669771.6168,0.269861635,"chlorophyllA"
8,2004,190688.567,669756.7857,0.284713154,"chlorophyllA"
8,2005,170040.3494,669685.2779,0.253910837,"chlorophyllA"
8,2006,187593.2583,669756.7857,0.280091613,"chlorophyllA"
8,2007,179256.1021,669771.6392,0.267637642,"chlorophyllA"
8,2008,142857.2796,669786.4702,0.213287795,"chlorophyllA"
8,2009,155033.8086,669517.4168,0.231560531,"chlorophyllA"
8,2010,167711.7767,669572.9009,0.250475753,"chlorophyllA"
8,2011,198135.2503,669801.3013,0.295811982,"chlorophyllA"
8,2012,185227.2287,669682.5745,0.27658959,"chlorophyllA"
8,2013,195616.7539,669578.478,0.292149106,"chlorophyllA"
8,2014,167932.9953,669637.9139,0.250781791,"chlorophyllA"
8,2015,170283.4322,669637.9139,0.254291803,"chlorophyllA"
8,2016,196758.5826,669682.4294,0.293808787,"chlorophyllA"
8,2017,193069.8142,669727.1236,0.288281312,"chlorophyllA"
8,2018,186539.3015,669771.6168,0.278511804,"chlorophyllA"
8,2019,212249.5515,669801.2901,0.316884357,"chlorophyllA"
8,2020,213561.1612,669727.1236,0.318877874,"chlorophyllA"
8,2021,227763.3931,669771.628,0.340061274,"chlorophyllA"
8,2022,224686.026,669756.7969,0.335474051,"chlorophyllA"
8,2023,192995.5933,669801.2901,0.288138581,"chlorophyllA"
8,2024,196270.7975,669831.0527,0.293015376,"chlorophyllA"
6,1998,732134.9642,385462.1468,1.89936929,"chlorophyllA_Summer"
6,1999,188885.5261,436017.2688,0.433206525,"chlorophyllA_Summer"
6,2000,323689.0017,802758.3606,0.403220966,"chlorophyllA_Summer"
6,2001,685480.7113,317161.916,2.161295782,"chlorophyllA_Summer"
6,2002,494468.7428,657426.7135,0.752127549,"chlorophyllA_Summer"
6,2003,335238.5723,289927.4267,1.15628444,"chlorophyllA_Summer"
6,2004,474225.702,634994.4037,0.746818711,"chlorophyllA_Summer"
6,2005,1038571.951,956007.2451,1.086364101,"chlorophyllA_Summer"
6,2006,659148.6024,839640.1844,0.785036989,"chlorophyllA_Summer"
6,2007,169401.1025,445983.1805,0.379837424,"chlorophyllA_Summer"
6,2008,202613.8176,300977.8134,0.673185227,"chlorophyllA_Summer"
6,2009,269189.1967,382489.2728,0.703782343,"chlorophyllA_Summer"
6,2010,313551.2615,517810.8128,0.605532472,"chlorophyllA_Summer"
6,2011,704051.4494,608520.8639,1.156988184,"chlorophyllA_Summer"
6,2012,966121.4373,406554.5133,2.376363823,"chlorophyllA_Summer"
6,2013,849340.2968,578434.3825,1.468343381,"chlorophyllA_Summer"
6,2014,160111.6598,254070.7662,0.630185291,"chlorophyllA_Summer"
6,2015,140601.0466,105326.0026,1.334912967,"chlorophyllA_Summer"
6,2016,404781.5539,470714.8283,0.859929472,"chlorophyllA_Summer"
6,2017,553552.7082,946950.8985,0.584563264,"chlorophyllA_Summer"
6,2018,522447.293,849104.5295,0.615292081,"chlorophyllA_Summer"
6,2019,510230.847,1030853.139,0.494959784,"chlorophyllA_Summer"
6,2020,593289.4961,572997.4719,1.035413811,"chlorophyllA_Summer"
6,2021,984648.6824,554763.4265,1.774898336,"chlorophyllA_Summer"
6,2022,656617.6688,650203.2848,1.009865198,"chlorophyllA_Summer"
6,2023,1004556.005,1030782.726,0.974556499,"chlorophyllA_Summer"
6,2024,263708.3043,759769.4901,0.347089884,"chlorophyllA_Summer"
7,1998,866823.5399,2213117.009,0.391675423,"chlorophyllA_Summer"
7,1999,1136390.218,2707513.82,0.419717236,"chlorophyllA_Summer"
7,2000,1610501.69,3851261.766,0.418175078,"chlorophyllA_Summer"
7,2001,1478786.449,4443625.491,0.332788272,"chlorophyllA_Summer"
7,2002,981263.061,3414578.455,0.287374583,"chlorophyllA_Summer"
7,2003,2736594.62,5630151.058,0.486060603,"chlorophyllA_Summer"
7,2004,2856435.118,5889637.156,0.484993395,"chlorophyllA_Summer"
7,2005,2580582.751,5944076.369,0.434143606,"chlorophyllA_Summer"
7,2006,3433626.946,5654948.977,0.607189731,"chlorophyllA_Summer"
