"zone","year","yrwgtsum","nonNAarea","yrwgtmean","yrsd","plot_with"
1,2007,47964000.6773154,1414462.80086963,33.9096939472897,0.0420627507140773,"surfaceSalinity_Winter"
1,2008,47975308.789659,1414462.80086963,33.9176885812502,0.0440163144421697,"surfaceSalinity_Winter"
1,2009,47949928.8796046,1414462.80086963,33.8997454370127,0.0451753318644652,"surfaceSalinity_Winter"
1,2010,47931162.8404549,1414462.80086963,33.8864781816716,0.0384759276901072,"surfaceSalinity_Winter"
1,2011,47883098.5400088,1414462.80086963,33.8524975775747,0.0354005938347293,"surfaceSalinity_Winter"
1,2012,47909316.7761497,1414462.80086963,33.8710334034195,0.0350423888133398,"surfaceSalinity_Winter"
1,2013,47928518.0184623,1414462.80086963,33.8846083396433,0.0277811061886461,"surfaceSalinity_Winter"
1,2014,47942537.4458685,1414462.80086963,33.8945198250479,0.0333180934362051,"surfaceSalinity_Winter"
1,2015,47992086.3757271,1414462.80086963,33.9295500356891,0.0394006822728649,"surfaceSalinity_Winter"
1,2016,48003531.3152903,1414462.80086963,33.9376414040561,0.0335425326827665,"surfaceSalinity_Winter"
1,2017,48000155.1717582,1414462.80086963,33.9352545307286,0.0430506689689409,"surfaceSalinity_Winter"
1,2018,47925014.4240031,1414462.80086963,33.882131360781,0.050752558593059,"surfaceSalinity_Winter"
1,2019,47977155.5672391,1414462.80086963,33.9189942200969,0.0421015238788852,"surfaceSalinity_Winter"
1,2020,47971568.5265977,1414462.80086963,33.9150442819027,0.038056220046882,"surfaceSalinity_Winter"
1,2021,47966681.9121737,1414462.80086963,33.9115895325653,0.0306314389737297,"surfaceSalinity_Winter"
1,2022,47949783.1824938,1414462.80086963,33.8996424317512,0.0234204353323648,"surfaceSalinity_Winter"
1,2023,47903181.3207911,1414462.80086963,33.866695745791,0.0401312874373785,"surfaceSalinity_Winter"
1,2024,47949916.9541541,1414462.80086963,33.8997370059318,0.0494187005170137,"surfaceSalinity_Winter"
4,1998,34968242.3231373,1030353.5708986,33.9380998045561,0.0380733506589032,"surfaceSalinity_Winter"
4,1999,34967048.1411566,1030353.5708986,33.9369408024287,0.0382765963740973,"surfaceSalinity_Winter"
4,2000,34966862.9236617,1030353.5708986,33.9367610413252,0.0388956717358691,"surfaceSalinity_Winter"
4,2001,34967958.4364662,1030353.5708986,33.9378242810086,0.0381463626435585,"surfaceSalinity_Winter"
4,2002,34967370.4267848,1030353.5708986,33.9372535937241,0.0373436123989943,"surfaceSalinity_Winter"
4,2003,34968476.0964917,1030353.5708986,33.9383266910939,0.0384589108552838,"surfaceSalinity_Winter"
4,2004,34965158.2108711,1030353.5708986,33.9351065483057,0.0404199339287737,"surfaceSalinity_Winter"
4,2005,34964910.4244973,1030353.5708986,33.9348660615633,0.0506213114765555,"surfaceSalinity_Winter"
4,2006,34944240.6565456,1030353.5708986,33.9148052120302,0.0348621862901028,"surfaceSalinity_Winter"
4,2007,34963044.999384,1030353.5708986,33.9330555907055,0.0426269030663068,"surfaceSalinity_Winter"
4,2008,34979985.6069977,1030353.5708986,33.9494971386287,0.0537539453542686,"surfaceSalinity_Winter"
4,2009,35020107.2176911,1030353.5708986,33.9884367917988,0.0670277811234255,"surfaceSalinity_Winter"
4,2010,34963922.0219402,1030353.5708986,33.9339067767265,0.0579892509586463,"surfaceSalinity_Winter"
4,2011,34952775.4779081,1030353.5708986,33.9230886029006,0.05668372330859,"surfaceSalinity_Winter"
4,2012,34969827.2859093,1030353.5708986,33.9396380753175,0.0549861647107497,"surfaceSalinity_Winter"
4,2013,34915207.1528964,1030353.5708986,33.8866270172151,0.0482930646467843,"surfaceSalinity_Winter"
4,2014,34966841.5231381,1030353.5708986,33.9367402712475,0.0443803794330782,"surfaceSalinity_Winter"
4,2015,34973642.4540536,1031035.80514005,33.9208806131646,0.0566670662533782,"surfaceSalinity_Winter"
4,2016,34982965.9209016,1031035.80514005,33.9299234289441,0.0644564268054523,"surfaceSalinity_Winter"
4,2017,34971671.8234739,1031035.80514005,33.9189693016758,0.0797742738823307,"surfaceSalinity_Winter"
4,2018,34990998.053391,1031035.80514005,33.9377137815676,0.0483145261012165,"surfaceSalinity_Winter"
4,2019,35011859.5871852,1031035.80514005,33.9579473502663,0.0376447696053948,"surfaceSalinity_Winter"
4,2020,35006736.685966,1031035.80514005,33.9529786564599,0.0454045881510267,"surfaceSalinity_Winter"
4,2021,34971337.5279672,1031035.80514005,33.9186450689915,0.0544983180902077,"surfaceSalinity_Winter"
4,2022,35044905.4445094,1031035.80514005,33.9899984751249,0.0905300673551462,"surfaceSalinity_Winter"
4,2023,34953970.8830409,1030353.5708986,33.9242487921469,0.0835132546609062,"surfaceSalinity_Winter"
4,2024,35016713.0077987,1030353.5708986,33.9851425732041,0.0405903925185554,"surfaceSalinity_Winter"
9,1998,19859643.5375868,585915.415772184,33.8950691567205,0.0745495234999018,"surfaceSalinity_Winter"
9,1999,19856780.0162389,585915.415772184,33.8901818960839,0.0672807745400356,"surfaceSalinity_Winter"
9,2000,19857920.60334,585915.415772184,33.8921285714407,0.0729421159380619,"surfaceSalinity_Winter"
9,2001,19856825.0842922,585915.415772184,33.8902588151272,0.0687795367684467,"surfaceSalinity_Winter"
9,2002,19857783.7260073,585915.415772184,33.8918949586546,0.0737660432815482,"surfaceSalinity_Winter"
9,2003,19857139.1068646,585915.415772184,33.8907947671845,0.0578747971285569,"surfaceSalinity_Winter"
9,2004,19866784.0185515,585915.415772184,33.9072560368955,0.0593059695499225,"surfaceSalinity_Winter"
9,2005,19852136.7418526,585915.415772184,33.8822570757748,0.0737933731972754,"surfaceSalinity_Winter"
9,2006,19856952.4972951,585915.415772184,33.8904762748484,0.0766237404700188,"surfaceSalinity_Winter"
9,2007,19860158.8458337,585915.415772184,33.8959486492769,0.0719094072906745,"surfaceSalinity_Winter"
9,2008,19839657.127275,585915.415772184,33.8609577307812,0.078787056609977,"surfaceSalinity_Winter"
9,2009,19875477.3956304,585915.415772184,33.9220932929991,0.137480985325468,"surfaceSalinity_Winter"
9,2010,19860648.9078686,585915.415772184,33.8967850533409,0.100957008553888,"surfaceSalinity_Winter"
9,2011,19864370.7611669,585915.415772184,33.9031372557205,0.0634705936214274,"surfaceSalinity_Winter"
9,2012,19862469.3959646,585915.415772184,33.8998921367988,0.0756401789121447,"surfaceSalinity_Winter"
9,2013,19853126.5872283,585915.415772184,33.8839464755568,0.0792273892917878,"surfaceSalinity_Winter"
9,2014,19852080.8008913,585915.415772184,33.8821615996023,0.0800987374255353,"surfaceSalinity_Winter"
9,2015,19827657.6481503,585915.415772184,33.8404778478463,0.0501839565981822,"surfaceSalinity_Winter"
9,2016,19853553.0098348,585915.415772184,33.8846742642359,0.0777216691077085,"surfaceSalinity_Winter"
9,2017,19852138.4954393,585915.415772184,33.8822600686755,0.0815772816360574,"surfaceSalinity_Winter"
9,2018,19850248.3981226,585915.415772184,33.8790341810033,0.101604437816726,"surfaceSalinity_Winter"
9,2019,19859512.4408768,585915.415772184,33.8948454099023,0.0782517688947558,"surfaceSalinity_Winter"
9,2020,19850237.7673593,585915.415772184,33.8790160371501,0.0539728022879295,"surfaceSalinity_Winter"
9,2021,19884174.1945139,585915.415772184,33.9369363892028,0.0691468721855182,"surfaceSalinity_Winter"
9,2022,19828738.9659511,585915.415772184,33.8423233664514,0.087328598360885,"surfaceSalinity_Winter"
9,2023,19869584.3400058,585915.415772184,33.9120354323149,0.101518577490289,"surfaceSalinity_Winter"
9,2024,19840963.7727246,585915.415772184,33.8631878230682,0.064638585052833,"surfaceSalinity_Winter"
8,1998,22653582.3116014,669919.938291368,33.815357652109,0.0652373718380057,"surfaceSalinity_Winter"
8,1999,22652418.681734,669919.938291368,33.8136206835537,0.0527391144932314,"surfaceSalinity_Winter"
8,2000,22652497.0681571,669919.938291368,33.813737692197,0.063333365950571,"surfaceSalinity_Winter"
8,2001,22652726.9737045,669919.938291368,33.8140808758138,0.0636403361060645,"surfaceSalinity_Winter"
